題目,答案,答對反饋,答錯回饋,提示
線上學習平台常用來進行什麼活動?,線上課程,答對了！線上學習平台主要用來上課。,不對，正確答案是線上課程。,遠距學習
Google Classroom主要用來做什麼?,課程管理,很好！Google Classroom用來管理課程。,錯誤，正確答案是課程管理。,老師發作業
教育科技中用來即時互動的工具是什麼?,即時回饋系統,正確！即時回饋系統可提升互動。,不對，正確答案是即時回饋系統。,上課即時回答
下列哪一種是線上會議軟體?,Zoom,答對了！Zoom常用於線上教學。,錯誤，正確答案是Zoom。,視訊上課
MOOCs主要特色是什麼?,大量開放線上課程,很好！MOOCs是大量開放的線上課程。,不對，正確答案是大量開放線上課程。,免費課程
平板電腦在教室中常用來做什麼?,數位學習,正確！平板能輔助數位學習。,不對，正確答案是數位學習。,電子教材
教育科技中AR代表什麼?,擴增實境,答對了！AR是擴增實境。,錯誤，正確答案是擴增實境。,虛實結合
下列哪一個工具可用來製作線上測驗?,Google表單,很好！Google表單可製作測驗。,不對，正確答案是Google表單。,線上問卷
教育科技中AI常用來做什麼?,學習分析,正確！AI可分析學習狀況。,不對，正確答案是學習分析。,分析成績
翻轉教室的特色是什麼?,課前自學,答對了！翻轉教室強調課前自學。,錯誤，正確答案是課前自學。,先看影片
電子白板在教室中的主要用途是什麼?,互動教學,很好！電子白板可進行互動教學。,不對，正確答案是互動教學。,觸控螢幕
學習管理系統的英文縮寫是什麼?,LMS,正確！學習管理系統簡稱LMS。,不對，正確答案是LMS。,課程平台
教育科技中VR代表什麼?,虛擬實境,答對了！VR是虛擬實境。,錯誤，正確答案是虛擬實境。,沉浸體驗
線上教學時常用來錄製課程的工具是什麼?,螢幕錄影軟體,很好！螢幕錄影可錄製教學內容。,不對，正確答案是螢幕錄影軟體。,錄課
教育科技的主要目的是什麼?,提升學習效果,正確！教育科技能提升學習效果。,不對，正確答案是提升學習效果。,學習成效
淡江大學在哪個縣市?,新北市,完美！淡江大學在新北市。,不對，正確答案是新北市。,在北部哪縣市?
