題目,答案,答對反饋,答錯回饋,提示
雲端運算最早是由哪一家公司提出的概念?,Amazon,正確！雲端運算最早由 Amazon 提出。,不正確，答案是 Amazon。,與網路購物平台有關
雲端運算在本質上被視為一種什麼?,概念,答對了！雲端運算是一種運算概念。,不對，它不是單一技術。,教材中有特別強調
雲端運算的「Cloud」最早用來比喻什麼?,複雜的網路架構,正確！Cloud 是對複雜網路的抽象比喻。,不正確，答案是複雜的網路架構。,與流程圖有關
雲端運算強調資料儲存在哪裡?,網路上,答對了！資料存放於雲端。,不對，不是存在個人電腦。,想想「任何地方都可用」
雲端運算的資源特性不包含下列何者?,固定不可變,正確！雲端資源是動態的。,不正確，答案是固定不可變。,與彈性有關
使用雲端服務後，使用者通常不需做什麼?,管理伺服器,答對了！管理由服務商負責。,不對，答案是管理伺服器。,與維護相關
雲端運算主要透過什麼提供服務?,網際網路,正確！雲端服務透過網路提供。,不正確，答案是網際網路。,想想連線方式
雲端運算可讓多台電腦同時做什麼?,同一件事,答對了！提升運算效率。,不對，答案是同一件事。,與速度有關
雲端運算是否需要終端使用者了解基礎架構?,不需要,正確！使用者只需關注需求。,不正確，答案是不需要。,教材原文
雲端運算的優點之一是?,立即可上線,答對了！只要連網即可使用。,不對，答案是立即可上線。,與時間有關
雲端運算讓軟體更新由誰負責?,服務提供者,正確！使用者不用自行更新。,不正確，答案是服務提供者。,與便利性有關
雲端運算可降低哪一種成本?,硬體成本,答對了！不需自購伺服器。,不對，答案是硬體成本。,與設備有關
雲端運算讓應用程式可快速擴充到多少人?,上千位使用者,正確！具高度擴充性。,不正確，答案是上千位使用者。,教材描述
雲端運算支援開發者加入什麼?,程式開發社群,答對了！促進合作開發。,不對，答案是程式開發社群。,與社群有關
雲端運算最核心的精神是?,服務導向,正確！運算能力作為服務提供。,不正確，答案是服務導向。,概念題
ABCD 中的 A 代表什麼?,學習者,答對了！A 是 Audience。,不正確，答案是學習者。,誰要學
ABCD 中的 B 著重於?,行為,正確！B 是可觀察行為。,不對，答案是行為。,動詞
ABCD 中的 C 指的是?,條件,答對了！包含環境與設備。,不正確，答案是條件。,時間地點
ABCD 中的 D 主要用來描述?,程度標準,正確！用來評量是否達成。,不對，答案是程度標準。,精確度
學習目標中的行為描述應使用什麼?,行為動詞,答對了！需可觀察評量。,不正確，答案是行為動詞。,避免模糊
「在15分鐘內」屬於 ABCD 的哪一項?,C,正確！這是條件。,不正確，答案是 C。,時間限制
「答對7/10題」屬於哪一項?,D,答對了！屬於程度。,不正確，答案是 D。,標準
ABCD 模式主要用於?,敘寫學習目標,正確！用於教學設計。,不對，答案是敘寫學習目標。,用途
清楚的學習目標有助於什麼?,評量設計,答對了！是評量基礎。,不正確，答案是評量設計。,教材強調
學習目標同時影響?,教學策略選擇,正確！影響策略與媒體。,不對，答案是教學策略選擇。,設計面
ABCD 模式是否適用各學齡?,是,答對了！可廣泛應用。,不正確，答案是是。,通用性
行為描述若無法觀察會有什麼問題?,難以評量,正確！評量不明確。,不對，答案是難以評量。,核心概念
ABCD 中最容易被忽略的是?,D,答對了！標準常被省略。,不正確，答案是 D。,教學經驗
ABCD 中的條件可包含?,設備,正確！包含設備與資訊。,不對，答案是設備。,教材列舉
學習目標清楚可提升學生的?,學習期待,答對了！學生知道目標。,不正確，答案是學習期待。,動機相關
Bloom 分類中不包含下列何者?,宗教學習,正確！Bloom 分為認知、情意、技能。,不正確，答案是宗教學習。,分類
認知學習主要涉及?,知識與理解,答對了！屬於心智層面。,不正確，答案是知識與理解。,心智
情意學習重視?,態度與價值,正確！關於情感層面。,不對，答案是態度與價值。,人格
動作技能學習屬於?,外顯行為,答對了！可被觀察。,不正確，答案是外顯行為。,行為
後設認知指的是?,對學習的認知,正確！學習如何學。,不對，答案是對學習的認知。,learning of learning
後設認知可幫助學習者?,解決問題,答對了！能調整策略。,不正確，答案是解決問題。,應用
後設認知屬於哪一種控制?,心智歷程控制,正確！管理思考過程。,不對，答案是心智歷程控制。,教材原文
學習動機屬於後設認知中的哪一面向?,動機,答對了！影響投入程度。,不正確，答案是動機。,分類
動機決定的是?,未來會做什麼,正確！不是能力。,不對，答案是未來會做什麼。,教材句子
ARCS 模式是誰提出的?,Keller,答對了！Keller 的動機模式。,不正確，答案是 Keller。,人名
ARCS 的 A 代表?,注意,正確！引起學習注意。,不對，答案是注意。,首字
ARCS 的 R 代表?,相關性,答對了！切身相關。,不正確，答案是相關性。,連結
ARCS 的 C 代表?,信心,正確！建立學習信心。,不對，答案是信心。,confidence
ARCS 的 S 代表?,滿足,答對了！學習成就感。,不正確，答案是滿足。,satisfaction
ARCS 主要用於?,提升學習動機,正確！強化投入。,不對，答案是提升學習動機。,用途
多元智力理論是由誰提出?,Gardner,答對了！多元智力理論。,不正確，答案是 Gardner。,理論家
下列何者屬於多元智力?,音樂智力,正確！節奏與音感。,不對，答案是音樂智力。,分類
人際智力重視?,理解他人,答對了！屬於社交能力。,不正確，答案是理解他人。,人際
內省智力重視?,自我認知,正確！了解自己。,不對，答案是自我認知。,內在
視覺/空間智力與何者相關?,圖像理解,答對了！空間感。,不正確，答案是圖像理解。,圖像
知覺偏好不包含?,智商高低,正確！與感官有關。,不對，答案是智商高低。,感官
學習較慢的學生較偏好?,實作學習,答對了！動手做。,不正確，答案是實作學習。,教材描述
Kolb 學習理論強調?,經驗學習,正確！循環歷程。,不對，答案是經驗學習。,1984
Kolb 循環的第一階段是?,實際體驗,答對了！從經驗開始。,不正確，答案是實際體驗。,順序
內省反思屬於哪一階段?,第二階段,正確！回顧經驗。,不對，答案是第二階段。,流程
歸納了解的下一步是?,實際應用,答對了！進行實驗。,不正確，答案是實際應用。,循環
Kolb 學習風格分成幾種?,四種,正確！四象限。,不對，答案是四種。,數量
發散型學習者特性為?,多角度思考,答對了！喜歡觀察。,不正確，答案是多角度思考。,風格
同化型學習者偏好?,理論分析,正確！重視概念。,不對，答案是理論分析。,抽象
收斂型學習者重視?,問題解決,答對了！實用導向。,不正確，答案是問題解決。,應用
調適型學習者偏好?,動手嘗試,正確！行動派。,不對，答案是動手嘗試。,實作
學習風格中的 sensing 指?,感官取向,答對了！偏重事實。,不正確，答案是感官取向。,對比
intuitive 學習者偏好?,概念與推論,正確！重視想法。,不對，答案是概念與推論。,直覺
sequential 學習者重視?,循序理解,答對了！一步一步。,不正確，答案是循序理解。,順序
global 學習者重視?,整體脈絡,正確！先看全貌。,不對，答案是整體脈絡。,全局
visual 學習者偏好?,圖像資訊,答對了！視覺刺激。,不正確，答案是圖像資訊。,感官
verbal 學習者偏好?,文字語言,正確！語言理解。,不對，答案是文字語言。,對比
learning style 指的是?,學習習慣,答對了！非能力高低。,不正確，答案是學習習慣。,概念
多元智力強調?,差異而非優劣,正確！人人不同。,不對，答案是差異而非優劣。,理念
教師了解學習風格有助於?,教學調整,答對了！因材施教。,不正確，答案是教學調整。,應用
行為心理學重視?,可觀察行為,正確！不推測內在。,不對，答案是可觀察行為。,重點
古典制約是由誰提出?,Pavlov,答對了！狗的實驗。,不正確，答案是 Pavlov。,人名
搖鈴引發流口水屬於?,制約反應,正確！非本能。,不對，答案是制約反應。,例子
操作制約由誰提出?,Skinner,答對了！Skinner box。,不正確，答案是 Skinner。,人物
操作制約強調?,行為與結果,正確！結果影響行為。,不對，答案是行為與結果。,核心
Thorndike 提出的理論是?,試誤論,答對了！刺激與反應。,不正確，答案是試誤論。,貓實驗
練習律強調?,重複的重要性,正確！加強連結。,不對，答案是重複的重要性。,定律
效果律指出?,結果影響記憶,答對了！好結果會被記住。,不正確，答案是結果影響記憶。,原理
正向增強是指?,外加愉悅刺激,正確！增加好東西。,不對，答案是外加愉悅刺激。,表格
負向增強是指?,移除厭惡刺激,答對了！不是懲罰。,不正確，答案是移除厭惡刺激。,易混淆
正向懲罰是?,外加厭惡刺激,正確！增加不舒服。,不對，答案是外加厭惡刺激。,對照
負向懲罰是?,移除愉悅刺激,答對了！剝奪獎勵。,不正確，答案是移除愉悅刺激。,概念
ABC model 中 A 指?,事前環境,正確！前因。,不對，答案是事前環境。,Antecedent
ABC model 中 B 指?,行為,答對了！被觀察的行為。,不正確，答案是行為。,Behavior
ABC model 中 C 指?,後果,正確！影響是否再發生。,不對，答案是後果。,Consequence
認知心理學關注?,心智歷程,答對了！資訊處理。,不正確，答案是心智歷程。,內在
Piaget 提出的核心概念是?,基模,正確！知識結構。,不對，答案是基模。,Schema
同化是指?,新經驗融入舊基模,答對了！結構不變。,不正確，答案是新經驗融入舊基模。,對比
調適是指?,改變原有基模,正確！結構調整。,不對，答案是改變原有基模。,差異
感官記憶的視覺保留約?,1秒內,答對了！極短暫。,不正確，答案是 1 秒內。,時間
聽覺感官記憶約維持?,2秒,正確！比視覺長。,不對，答案是 2 秒。,對照
短期記憶容量為?,7±2,答對了！Miller 提出。,不正確，答案是 7±2。,數字
工作記憶又稱?,RAM,正確！處理中記憶。,不對，答案是 RAM。,比喻
長期記憶容量如何?,幾乎無限,答對了！可終身保存。,不正確，答案是幾乎無限。,特性
記憶進入長期需經過?,編碼,正確！轉換過程。,不對，答案是編碼。,流程
複習的主要功能是?,強化記憶,答對了！避免遺忘。,不正確，答案是強化記憶。,策略
認知心理學認為學習是?,認知結構改變,正確！不是單純行為。,不對，答案是認知結構改變。,主張
遷移指的是?,應用到新情境,答對了！活用知識。,不正確，答案是應用到新情境。,應用
認知心理學強調哪一項的重要性?,記憶,正確！學習基礎。,不對，答案是記憶。,教材重點
行為與認知理論最大差異在於?,是否重視內在歷程,答對了！認知關注心智。,不正確，答案是是否重視內在歷程。,比較題
