題目,答案,答對反饋,答錯回饋,提示
雲端運算最早是由哪一家公司因應哪一種需求而提出的概念?,Amazon 因應網路購物平台需求,正確！雲端運算最早由 Amazon 因應電商平台需求而提出。,不正確，答案是 Amazon 因應網路購物平台需求。,檔案中提到與電商平台有關的公司
「Cloud」一詞在雲端運算中的意義，最初是用來比喻什麼?,複雜的電腦網路架構,答對了！Cloud 用來抽象化表示複雜的網路結構。,不對，正確答案是複雜的電腦網路架構。,與流程圖中網際網路的畫法有關
下列何者最符合檔案中對雲端運算的核心概念描述?,將資料與運算交由網路處理,正確！雲端運算強調把資料與運算放到網路上。,不正確，答案是將資料與運算交由網路處理。,想想「不是單一新技術，而是一種概念」
根據教材，使用雲端運算服務後，使用者通常不需要做哪一件事?,自行管理伺服器,答對了！雲端服務不需要使用者自行管理伺服器。,不對，正確答案是自行管理伺服器。,與「維護、管理」相關
雲端運算資源被描述為「動態、可擴充、虛擬化」，主要是為了強調什麼特性?,使用彈性高且不需了解底層細節,正確！重點在於彈性與降低技術門檻。,不正確，答案是使用彈性高且不需了解底層細節。,注意「終端使用者不需要了解基礎設施」
ABCD 學習目標模式中的 A，代表的是什麼?,學習者,答對了！A 指的是 Audience（學習者）。,不對，A 代表學習者。,與「誰要學」有關
在 ABCD 模式中，用來描述可觀察、可評量行為的是哪一個元素?,Behavior,正確！Behavior 強調可觀察的行為動詞。,不正確，答案是 Behavior。,與「行為動詞」有關
下列哪一項最適合放在 ABCD 中的 Condition?,在15分鐘內,答對了！Condition 描述學習發生的條件。,不對，正確答案是 在15分鐘內。,與時間、環境或設備有關
在學習目標中加入「答對7/10題」，主要是為了明確哪一個要素?,Degree,正確！Degree 用來界定達成標準。,不正確，答案是 Degree。,與精確度或標準有關
設定清楚的學習目標與標準，在教學設計中最直接的功能是什麼?,作為評量與教學設計的依據,答對了！學習目標是評量與設計的重要基礎。,不對，正確答案是作為評量與教學設計的依據。,檔案中提到「選擇策略、科技、媒體的基礎」
